eta_x,eta_y,eta_psi,vel_ref,head_ref
-236.67900914082,34.3486551631132,2.95771080648614,0,2.95771080648614
-236.679417560878,34.3473436224891,2.95778133573173,0,2.95778133573173
-236.679823684539,34.3460339763246,2.95785143989072,0,2.95785143989072
-236.680227533705,34.3447262231173,2.95792112154414,0,2.95792112154414
-236.680629130047,34.3434203613359,2.95799038325717,0,2.95799038325717
-236.681028494999,34.3421163894207,2.95805922757932,0,2.95805922757932
-236.681425649771,34.3408143057836,2.95812765704444,0,2.95812765704444
-236.681820615344,34.3395141088095,2.95819567417085,0,2.95819567417085
-236.682213412475,34.3382157968559,2.95826328146147,0,2.95826328146147
-236.6826040617,34.336919368254,2.95833048140385,0,2.95833048140385
-236.682992583333,34.3356248213087,2.95839727647031,0,2.95839727647031
-236.683378997476,34.3343321542995,2.95846366911802,0,2.95846366911802
-236.683763324011,34.3330413654807,2.95852966178911,0,2.95852966178911
-236.684145582612,34.3317524530819,2.95859525691072,0,2.95859525691072
-236.684525792742,34.3304654153084,2.95866045689514,0,2.95866045689514
-236.684903973655,34.3291802503418,2.95872526413988,0,2.95872526413988
-236.685280144401,34.3278969563402,2.95878968102777,0,2.95878968102777
-236.685654323826,34.3266155314389,2.95885370992702,0,2.95885370992702
-236.686026530578,34.3253359737506,2.95891735319137,0,2.95891735319137
-236.686396783101,34.324058281366,2.95898061316011,0,2.95898061316011
-236.686765099649,34.322782452354,2.95904349215822,0,2.95904349215822
-236.687131498276,34.3215084847622,2.95910599249645,0,2.95910599249645
-236.687495996847,34.3202363766175,2.95916811647138,0,2.95916811647138
-236.687858613036,34.3189661259261,2.95922986636554,0,2.95922986636554
-236.688219364329,34.3176977306742,2.95929124444748,0,2.95929124444748
-236.688578268026,34.3164311888283,2.95935225297187,0,2.95935225297187
-236.688935341244,34.3151664983356,2.95941289417956,0,2.95941289417956
-236.689290600916,34.3139036571241,2.95947317029768,0,2.95947317029768
-236.689644063797,34.3126426631034,2.95953308353974,0,2.95953308353974
-236.689995746462,34.3113835141649,2.95959263610571,0,2.95959263610571
-236.690345665314,34.310126208182,2.95965183018205,0,2.95965183018205
-236.690693836576,34.3088707430107,2.9597106679419,0,2.9597106679419
-236.691040452263,34.3076169282645,2.95976918763815,0,2.95976918763815
-236.691385174751,34.3063651384609,2.95982731901237,0,2.95982731901237
-236.691728197319,34.3051151829367,2.9598851005112,0,2.9598851005112
-236.692069535517,34.3038670594811,2.95994253425505,0,2.95994253425505
-236.692409204728,34.3026207658674,2.95999962235132,0,2.95999962235132
-236.692747220173,34.3013762998534,2.96005636689454,0,2.96005636689454
-236.693083596911,34.3001336591817,2.96011276996642,0,2.96011276996642
-236.693418349841,34.29889284158,2.96016883363592,0,2.96016883363592
-236.693751493707,34.2976538447614,2.96022455995936,0,2.96022455995936
-236.694083043094,34.2964166664248,2.96027995098048,0,2.96027995098048
-236.694413080164,34.2951812258294,2.96033502305685,0,2.96033502305685
-236.694741483134,34.2939476776063,2.96038974946781,0,2.96038974946781
-236.695068460963,34.2927157944199,2.96044417145063,0,2.96044417145063
-236.695393798414,34.2914858608825,2.96049822453623,0,2.96049822453623
-236.695717652041,34.2902577242447,2.96055192550044,0,2.96055192550044
-236.69604005216,34.2890313779212,2.96060526507804,0,2.96060526507804
-236.696361027799,34.2878068155403,2.96065823471999,0,2.96065823471999
-236.696680606754,34.2865840309365,2.96071082656389,0,2.96071082656389
-236.696998815638,34.285363018142,2.96076303340133,0,2.96076303340133
-236.697315679938,34.2841437713769,2.96081484864467,0,2.96081484864467
-236.697631224068,34.2829262850401,2.9608662662946,0,2.9608662662946
-236.697945471423,34.2817105537009,2.96091728090863,0,2.96091728090863
-236.698258444427,34.2804965720896,2.96096788757097,0,2.96096788757097
-236.698570164581,34.2792843350899,2.96101808186358,0,2.96101808186358
-236.698880652509,34.2780738377307,2.96106785983869,0,2.96106785983869
