eta_x,eta_y,eta_psi
469.395072348661,820.112501055039,-1.96020209789276
469.332912194391,819.939849625881,-1.95898687839508
469.265928933272,819.787044420293,-1.95792573690414
469.200018486053,819.636128592021,-1.95704358816147
469.135279525216,819.486882728145,-1.95640623569489
469.071460764853,819.33913130765,-1.95593732595444
469.008526344117,819.192556735317,-1.95533374945323
468.952953706036,819.061469970144,-1.95520663261414
468.891755497573,818.916909665888,-1.95586510499318
468.831166594377,818.773413455881,-1.95767903327942
468.77099349529,818.631351354901,-1.96008437871933
468.720414784884,818.479965686836,-1.96306663751602
468.661649568622,818.341482155003,-1.96537363529205
468.604020984627,818.204542239361,-1.96861898899078
468.547429202105,818.068935581168,-1.97310358285904
468.4913928179,817.934584251556,-1.97729474306107
468.431127068261,817.811431694427,-1.98172706365585
468.375218924921,817.680045975244,-1.98612195253372
468.319383104999,817.549654859687,-1.99007362127304
468.26364448114,817.419699423961,-1.99268162250519
468.207933102833,817.289722190879,-1.99492871761322
468.148866865808,817.164054647914,-1.99797789255778
468.092697725958,817.033613204566,-2.00043570995331
468.036114185124,816.9028839453,-2.002396941185
467.978872782656,816.772079986071,-2.00501155853271
467.920429059359,816.641375494163,-2.00820875167847
467.874595947894,816.505528874676,-2.01149916648865
467.813983231576,816.374009357416,-2.01468920707703
467.752375993484,816.241837560429,-2.01753497123718
467.690137851826,816.108874671965,-2.0199236869812
467.627368738667,815.975298370263,-2.02179789543152
467.56399616873,815.841378815512,-2.02306294441223
467.493742132488,815.719034668599,-2.02360081672668
467.429128519562,815.58464463964,-2.02352094650269
467.363887126176,815.450004337929,-2.02287705739339
467.29803570815,815.315158976569,-2.02141606807709
467.2284260066,815.179896804887,-2.01992177963257
467.161434695884,815.044679865259,-2.01840925216675
467.093842461866,814.909445255516,-2.01708245277405
467.025677922396,814.774242495923,-2.01595330238342
466.957003203352,814.638929580105,-2.01489543914795
466.885783117107,814.496417268654,-2.01365458965302
466.816893844703,814.361106014052,-2.01240122318268
466.748288093228,814.226624495475,-2.01111829280853
466.67988478412,814.092765631884,-2.00974333286285
466.61176702794,813.959177611157,-2.00877285003662
466.533494724724,813.836912616772,-2.00715899467468
466.465884115544,813.704323552025,-2.00567436218262
466.398489959023,813.572305178642,-2.00398135185242
466.331218582551,813.440591969175,-2.0017466545105
466.264233206058,813.30915418251,-1.99975126981735
466.201797811017,813.183018769239,-1.99741393327713
466.135943707565,813.052066494334,-1.99477124214172
466.070700553893,812.920983824744,-1.99223232269287
466.005631535668,812.78937178321,-1.99002134799957
465.940544653453,812.65690240345,-1.98816084861755
465.875372584918,812.523240800118,-1.98665726184845
465.80951583986,812.398085807208,-1.98570984601974
465.744066590358,812.261671306304,-1.98545551300049
465.678340621861,812.124138449839,-1.98579782247543
